age_sec,anchor_count,block,captured_at,client,geometry_version,host,kind,module_id,observation_count,position_event_id,protocol,received_at,rms_m,sigma_m,slot_id,tag_id,topic,uptime_ms,x_m,y_m,truth_x_m,truth_y_m,error_m,comparison_valid,exclusion_reason
0.010550975799560547,4,flex_1,1785085450.5357404,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7813,flextdoa,1785085450.5264642,0.085,0.023,19383,1,uwb.flex_tdoa.position,64500,1.558,1.455,1.5175,1.46675,0.042170042684351136,1,
0.006579399108886719,4,flex_1,1785085450.5666761,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7815,flextdoa,1785085450.5609977,0.118,0.032,19391,1,uwb.flex_tdoa.position,64530,1.525,1.459,1.5175,1.46675,0.010784827305061329,1,
0.0072345733642578125,4,flex_1,1785085450.6006944,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7819,flextdoa,1785085450.594573,0.083,0.023,19407,1,uwb.flex_tdoa.position,64580,1.51,1.445,1.5175,1.46675,0.02300679247526691,1,
0.004429340362548828,4,flex_1,1785085450.632308,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7822,flextdoa,1785085450.629134,0.105,0.029,19419,1,uwb.flex_tdoa.position,64610,1.544,1.434,1.5175,1.46675,0.0421285235915051,1,
0.009685277938842773,4,flex_1,1785085450.6684427,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7824,flextdoa,1785085450.660212,0.108,0.03,19427,1,uwb.flex_tdoa.position,64640,1.522,1.445,1.5175,1.46675,0.022210639342441198,1,
0.001664876937866211,4,flex_1,1785085450.700132,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7828,flextdoa,1785085450.699848,0.116,0.032,19443,1,uwb.flex_tdoa.position,64690,1.545,1.438,1.5175,1.46675,0.03978457615709881,1,
0.009897470474243164,4,flex_1,1785085450.734323,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7829,flextdoa,1785085450.7251976,0.069,0.019,19447,1,uwb.flex_tdoa.position,64700,1.525,1.401,1.5175,1.46675,0.06617637418293627,1,
0.007601737976074219,4,flex_1,1785085450.7671673,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7833,flextdoa,1785085450.7605588,0.083,0.023,19463,1,uwb.flex_tdoa.position,64750,1.545,1.447,1.5175,1.46675,0.033857237040254624,1,
0.0066432952880859375,4,flex_1,1785085450.7961318,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7835,flextdoa,1785085450.790377,0.074,0.02,19471,1,uwb.flex_tdoa.position,64770,1.495,1.436,1.5175,1.46675,0.03810265738764164,1,
0.0012073516845703125,4,flex_1,1785085450.8312213,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7838,flextdoa,1785085450.831355,0.149,0.041,19483,1,uwb.flex_tdoa.position,64810,1.498,1.491,1.5175,1.46675,0.031117720032161865,1,
0.008496284484863281,4,flex_1,1785085450.8666348,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7841,flextdoa,1785085450.8591084,0.096,0.026,19495,1,uwb.flex_tdoa.position,64840,1.504,1.48,1.5175,1.46675,0.018915932438026983,1,
0.005160093307495117,4,flex_1,1785085450.9015172,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7844,flextdoa,1785085450.8974032,0.076,0.021,19507,1,uwb.flex_tdoa.position,64880,1.558,1.46,1.5175,1.46675,0.04105864707951297,1,
0.0090789794921875,4,flex_1,1785085450.932049,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7846,flextdoa,1785085450.9237196,0.083,0.023,19515,1,uwb.flex_tdoa.position,64900,1.57,1.428,1.5175,1.46675,0.06525191568069097,1,
0.010606050491333008,4,flex_1,1785085450.9744468,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7850,flextdoa,1785085450.9653819,0.109,0.03,19531,1,uwb.flex_tdoa.position,64950,1.519,1.482,1.5175,1.46675,0.015323592920721925,1,
0.01318812370300293,4,flex_1,1785085451.0134237,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7853,flextdoa,1785085451.0018566,0.078,0.021,19543,1,uwb.flex_tdoa.position,64980,1.56,1.433,1.5175,1.46675,0.05427073336523098,1,
0.008194923400878906,4,flex_1,1785085451.050147,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7855,flextdoa,1785085451.0426924,0.081,0.022,19551,1,uwb.flex_tdoa.position,65020,1.5,1.424,1.5175,1.46675,0.046193208375258026,1,
0.010607242584228516,4,flex_1,1785085451.0844038,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7857,flextdoa,1785085451.075518,0.101,0.028,19559,1,uwb.flex_tdoa.position,65040,1.547,1.476,1.5175,1.46675,0.03091621742710436,1,
0.007874488830566406,4,flex_1,1785085451.1985912,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7869,flextdoa,1785085451.1923358,0.148,0.041,19607,1,uwb.flex_tdoa.position,65180,1.474,1.522,1.5175,1.46675,0.0703193607763894,1,
0.021455049514770508,4,flex_1,1785085451.2384157,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7871,flextdoa,1785085451.2179444,0.081,0.022,19615,1,uwb.flex_tdoa.position,65200,1.524,1.512,1.5175,1.46675,0.04571446707553311,1,
0.013848543167114258,4,flex_1,1785085451.2814746,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7875,flextdoa,1785085451.2690315,0.049,0.014,19631,1,uwb.flex_tdoa.position,65250,1.539,1.502,1.5175,1.46675,0.04128937514664025,1,
0.00807499885559082,4,flex_1,1785085451.3214774,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7879,flextdoa,1785085451.3142464,0.05,0.014,19647,1,uwb.flex_tdoa.position,65300,1.532,1.477,1.5175,1.46675,0.01775704085707978,1,
