capture_id,protocol,motion,position_stream,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.2257686,1786642787.2630997,37.33110427856445,0.21256227589277366,-0.08167840240192081,0.00374838552409176,0.0007778416787957902,0.2088138903686819,-0.0824562440807166,0.224504505520051,,0.0,0.669,0.669,104,104,True,0.12659430503845215,0.008747570247796458
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.3708553,1786642787.3606744,-10.180950164794922,0.21808470649087863,-0.08345594629956565,0.0035888801230931824,0.0021112834979202144,0.21449582636778544,-0.08556722979748586,0.23093334610751845,,0.0,0.653,0.653,104,104,True,0.22416901588439941,0.011499863567080507
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.4791079,1786642787.4556231,-23.48470687866211,0.21648302516646512,-0.0834803749127282,-0.00063802285719032,-0.0016668010891359958,0.21712104802365542,-0.0818135738235922,0.2320237280035791,,0.0,0.648,0.648,104,104,True,0.31911778450012207,0.01548670041459526
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.6073709,1786642787.5947416,-12.629270553588867,0.21333054254522477,-0.08369810000357703,0.0009570347013267257,0.0024446432942027262,0.21237350784389805,-0.08614274329777975,0.2291791418449537,,0.0,0.694,0.694,104,104,True,0.4582362174987793,0.009311886844525842
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.7316098,1786642787.750674,19.06418800354004,0.20955881706786061,-0.08258532078197245,0.002791350896998335,0.0016668024117722142,0.20676746617086228,-0.08425212319374466,0.223273834851674,,0.0,0.719,0.719,104,104,True,0.42844176292419434,0.0061261753429797975
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.8894482,1786642787.900985,11.536836624145508,0.20746178775797364,-0.09261178515436885,0.0035091268696920844,0.003000243828749652,0.20395266088828154,-0.0956120289831185,0.22525174354414898,,0.0,0.663,0.663,104,104,True,0.27813076972961426,0.0060548103500697855
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642787.9840593,1786642787.9723926,-11.66677474975586,0.21065853307311078,-0.0845666271067147,0.0007177761597587021,-0.001777922356972337,0.20994075691335207,-0.08278870474974236,0.22567474614473634,,0.0,0.639,0.639,104,104,True,0.20672321319580078,0.00920182815002877
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.1064403,1786642788.103722,-2.718210220336914,0.20629515467521586,-0.08824637008253156,0.00175456333322193,-0.0023335229102652327,0.20454059134199393,-0.08591284717226633,0.22185101040062394,,0.0,0.626,0.626,104,104,True,0.0753936767578125,0.003742018519662537
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.2314658,1786642788.205706,-25.75993537902832,0.21538744014466604,-0.08488859423364303,0.0019140693192497907,-0.0022224025585280828,0.21347337082541626,-0.08266619167511495,0.2289204650039671,,0.0,0.677,0.677,104,104,True,0.02659010887145996,0.01195133890769894
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.3586402,1786642788.3610144,2.3741722106933594,0.21988988126469877,-0.08047138080054062,0.002950856593512097,0.003889204658998142,0.21693902467118667,-0.08436058545953876,0.2327643632611356,,0.0,0.649,0.649,104,104,True,0.1818985939025879,0.014212886733147993
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.5256543,1786642788.52589,0.2357959747314453,0.22063922614109766,-0.08521974788007114,0.003349621077497099,0.0007778407651447884,0.21728960506360057,-0.08599758864521592,0.23368859133788983,,0.0,0.635,0.635,104,104,True,0.3467743396759033,0.014037577144575751
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.626802,1786642788.6269646,0.16260147094726562,0.22119063894734614,-0.0905434445035409,0.002392586387748778,0.00211128373829656,0.21879805255959736,-0.09265472824183746,0.23760784176756683,,0.0,0.656,0.656,104,104,True,0.4478487968444824,0.015399702366154793
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.7317955,1786642788.7157984,-15.997171401977539,0.21838894073460047,-0.09513814437444879,0.0019140691478284292,-0.0020001626310146956,0.21647487158677203,-0.09313798174343409,0.23566088702147775,,0.0,0.684,0.684,104,104,True,0.46009302139282227,0.013254278602141583
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.872252,1786642788.822757,-49.49498176574707,0.2177936516684873,-0.10409003273874884,0.0035091268321035176,-0.0017779222245472397,0.21428452483638377,-0.1023121105142016,0.2374565761191401,,0.0,0.672,0.672,104,104,True,0.3531343936920166,0.016563255488234684
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642788.9831731,1786642788.9828527,-0.3204345703125,0.21346855742460713,-0.10773263425849322,0.0009570346438382315,-0.0016668010319215373,0.2125115227807689,-0.10606583322657168,0.23751022776429687,,0.0,0.65,0.65,104,104,True,0.1930387020111084,0.018703109852445696
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.1570692,1786642789.1571574,0.08821487426757812,0.20666411839147725,-0.10561110357825054,0.002312833228477085,-0.0008889612882571774,0.20435128516300016,-0.10472214228999337,0.22962180827085094,,0.0,0.671,0.671,104,104,True,0.018733978271484375,0.015173611701390661
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.2319927,1786642789.2268813,-5.111455917358398,0.2053024700138424,-0.10292121436439139,0.004306655600834549,0.0010000818858583544,0.20099581441300785,-0.10392129625024975,0.22627185690200288,,0.0,0.668,0.668,104,104,True,0.05098986625671387,0.014613953548282044
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.3855402,1786642789.3856664,0.12612342834472656,0.20375008803892491,-0.09200396989318449,0.005104184560434798,-0.0006667211547715419,0.19864590347849012,-0.09133724873841295,0.21863825826210823,,0.0,0.68,0.68,104,104,True,0.20977497100830078,0.005368229997016303
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.4880831,1786642789.4881425,0.05936622619628906,0.21313368657741028,-0.09030320079344278,0.0005582701462209179,-0.0003333604280936315,0.21257541643118935,-0.08996984036534915,0.23083084682567878,,0.0,0.689,0.689,104,104,True,0.31225109100341797,0.008872691310811281
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.6101604,1786642789.6336126,23.452281951904297,0.21572110196795435,-0.08548802619345608,0.002791350749336474,-0.0012223208897758255,0.21292975121861787,-0.08426570530368026,0.22899735379333358,,0.0,0.683,0.683,104,104,True,0.4577212333679199,0.010630887026408591
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.8073568,1786642789.8074448,0.08797645568847656,0.21631278772249107,-0.09087539398265587,0.0003190118185715529,-0.0067783294788526394,0.21599377590391952,-0.08409706450380323,0.2317878933149647,,0.0,0.692,0.692,104,104,True,0.4089169502258301,0.013442655575708508
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.8560846,1786642789.8519793,-4.105329513549805,0.21391163415340464,-0.09402413819737099,-7.975269598910499e-05,-0.0014445620025608443,0.21399138684939376,-0.09257957619481014,0.2331593694753388,,0.0,0.614,0.614,104,104,True,0.3643825054168701,0.010713049883425205
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642789.9768126,1786642789.9906182,13.805627822875977,0.2253591961216559,-0.07995916936971526,-0.0011962933910089966,-0.002000162973474932,0.22655548951266488,-0.07795900639624033,0.23959339829513718,,0.0,0.671,0.671,104,104,True,0.22574353218078613,0.025621274904231287
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.1116803,1786642790.0941145,-17.56572723388672,0.22501860639126092,-0.08176519976474239,-0.0018343160202459767,-0.002222403461089076,0.2268529224115069,-0.07954279630365331,0.24039406159563437,,0.0,0.656,0.656,104,104,True,0.12224721908569336,0.025216699383852438
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.2317746,1786642790.2166207,-15.153884887695312,0.23183282197080923,-0.08238520156408136,0.002153327698765351,0.002778003564785716,0.22967949427204387,-0.08516320512886708,0.2449600816396078,,0.0,0.689,0.689,104,104,True,0.0002589225769042969,0.026337326635887368
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.410461,1786642790.410705,0.244140625,0.22603932879646438,-0.08224921878032099,-0.0020735749610798658,-0.0005556001313262535,0.22811290375754426,-0.08169361864899473,0.24230011182140637,,0.0,0.669,0.669,104,104,True,0.19434332847595215,0.0256380667576616
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.4850872,1786642790.5018327,16.745567321777344,0.22861781753329002,-0.08098449513483708,0.0009570347709907094,0.0024446430323730142,0.2276607827622993,-0.08342913816721009,0.24246618960850247,,0.0,0.64,0.64,104,104,True,0.28547096252441406,0.024721472938120728
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.604639,1786642790.6034613,-1.1777877807617188,0.2153352760397944,-0.08979387601520727,-0.0003987644128156505,-0.0022224033429965565,0.21573404045261005,-0.08757147267221072,0.2328302794655114,,0.0,0.644,0.644,104,104,True,0.3870995044708252,0.012185613019580606
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.7418873,1786642790.7080433,-33.843994140625,0.21667597892113832,-0.09456606391718658,0.0005582702599964029,-0.0005556001498079235,0.2161177086611419,-0.09401046376737866,0.2356795097048104,,0.0,0.627,0.627,104,104,True,0.4916815757751465,0.013179069667193177
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.9033403,1786642790.9109962,7.655858993530273,0.2214005377393149,-0.09715197205671267,0.00015950574217886405,-0.003444724270878101,0.22124103199713605,-0.09370724778583456,0.24026785579172585,,0.0,0.67,0.67,104,104,True,0.3198392391204834,0.018012396322602882
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642790.984662,1786642790.9625661,-22.095918655395508,0.22039428386145254,-0.101238005557307,-0.0016748104230673948,-0.0017779224789562422,0.22206909428451993,-0.09946008307835076,0.24332486671587727,,0.051,0.634,0.634,104,104,True,0.26826930046081543,0.02085548312757441
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.1104176,1786642791.1145728,4.155158996582031,0.21423724296224056,-0.10144375746346768,0.005582701687525277,0.0005556004498169917,0.20865454127471528,-0.10199935791328467,0.23225112832725744,,0.0,0.682,0.682,104,104,True,0.11626267433166504,0.013383407021011972
flextdoa_final_dynamic_20260813,flextdoa,dynamic,ekf,1786642791.2378771,1786642791.2309155,-6.961584091186523,0.21939648862118788,-0.10203541420180429,0.0011962933620834077,-0.0014445620009644014,0.21820019525910447,-0.10059085220083988,0.24027035763406715,,0.0,0.685,0.685,104,104,True,8.0108642578125e-05,0.01820825094494281
