capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
flextdoa_dynamic_final_01,flextdoa,dynamic,40,1786447841.6392243,1786447841.7086184,2147503091,True,True,0.024,"2,3,4,5",0.052793308549030735,-1.6975739173859858,-4.082607141101007,0.006746466380882909,0.008821456808505757,0.008997051106728726
flextdoa_dynamic_final_01,flextdoa,dynamic,41,1786447844.50671,1786447844.6834648,2147503447,True,True,0.024,"2,3,4,5",0.08103606107581296,-1.6952447678819986,-4.082973625014088,0.007334449360927947,0.008391589720263158,0.008538031363664704
flextdoa_dynamic_final_01,flextdoa,dynamic,42,1786447847.533321,1786447847.6289303,2147503819,True,True,0.024,"2,3,4,5",0.07618557823457049,-1.695648451486925,-4.08016076821489,0.010349930524921091,0.013277513365907044,0.013812918647803353
flextdoa_dynamic_final_01,flextdoa,dynamic,43,1786447850.4478397,1786447850.513851,2147504180,True,True,0.024,"2,3,4,5",0.1139716360637456,-1.6925229083287792,-4.086149548369351,0.007921246184938736,0.009344467164473508,0.009595811848430166
flextdoa_dynamic_final_01,flextdoa,dynamic,44,1786447853.701366,1786447853.9879377,2147504591,True,True,0.024,"2,3,4,5",0.08829298022270467,-1.6966377905063612,-4.088570682396606,0.010653340719375447,0.013252647306257758,0.013544750699948269
flextdoa_dynamic_final_01,flextdoa,dynamic,45,1786447856.6721013,1786447856.7758086,2147504959,True,True,0.024,"2,3,4,5",0.05416495803940801,-1.7014556018502818,-4.08812874540862,0.007409926111012226,0.010639584558024766,0.011167543336707372
flextdoa_dynamic_final_01,flextdoa,dynamic,46,1786447859.4331334,1786447859.5563123,2147505299,True,True,0.024,"2,3,4,5",0.11961247441766094,-1.6940573757946265,-4.086226514795985,0.010023738795191108,0.012485934340051914,0.012965639202280454
flextdoa_dynamic_final_01,flextdoa,dynamic,47,1786447862.052747,1786447862.1291068,2147505627,True,True,0.024,"2,3,4,5",0.12748219188806573,-1.6931517716178364,-4.089077703202378,0.010675700755416705,0.013665731615904182,0.013935932563053068
flextdoa_dynamic_final_01,flextdoa,dynamic,48,1786447864.7490444,1786447864.8183012,2147505955,True,True,0.024,"2,3,4,5",0.10747636116233908,-1.6930537842340012,-4.088815669673818,0.010706728853487711,0.013391961079918427,0.013651740384758637
flextdoa_dynamic_final_01,flextdoa,dynamic,49,1786447867.890956,1786447867.9672725,2147506344,True,True,0.024,"2,3,4,5",0.07332667663695237,-1.7036200058406483,-4.0911336119696236,0.010342877522836124,0.013238341368999665,0.013777900547772394
flextdoa_dynamic_final_01,flextdoa,dynamic,50,1786447869.78631,1786447869.897756,2147506583,True,True,0.024,"2,3,4,5",0.04796002488316503,-1.697965589242359,-4.090794305452758,0.009843449625444738,0.013149998187222662,0.013523896775304696
flextdoa_dynamic_final_01,flextdoa,dynamic,51,1786447871.846134,1786447872.0331852,2147506844,True,True,0.024,"2,3,4,5",0.10747636116233908,-1.6930537842340012,-4.088815669673818,0.010706728853487711,0.013391961079918427,0.013651740384758637
flextdoa_dynamic_final_01,flextdoa,dynamic,52,1786447874.3794477,1786447874.4619257,2147507159,True,True,0.024,"2,3,4,5",0.12213895851605219,-1.6858312985700388,-4.094492118129678,0.010852320297632462,0.012818714437309685,0.012924559169182035
flextdoa_dynamic_final_01,flextdoa,dynamic,53,1786447876.882618,1786447877.0191016,2147507471,True,True,0.024,"2,3,4,5",0.1945367006500058,-1.6798640391447792,-4.089914450262042,0.014516753351752508,0.019211696885143677,0.01990364071620419
flextdoa_dynamic_final_01,flextdoa,dynamic,54,1786447879.5623596,1786447879.7142491,2147507803,True,True,0.024,"2,3,4,5",0.09931198505570085,-1.6917231789917009,-4.091456686356952,0.01059014719330345,0.013889968552858015,0.014463834609998808
flextdoa_dynamic_final_01,flextdoa,dynamic,55,1786447882.7258124,1786447882.926333,2147508195,True,True,0.024,"2,3,4,5",0.09931198505570085,-1.6917231789917009,-4.091456686356952,0.01059014719330345,0.013889968552858015,0.014463834609998808
flextdoa_dynamic_final_01,flextdoa,dynamic,56,1786447884.7115614,1786447886.3868308,2147508435,True,True,0.024,"2,3,4,5",0.10417501046259804,-1.6913163922523382,-4.094269370660561,0.007564614616686216,0.009022394446348966,0.009211013388805214
native_ds_dynamic_quality_gate_02,native_ds,dynamic,0,1786447412.9412289,1786447412.9412289,99,False,False,,"2,3,4,5",0.056647212681222935,-1.6941981620948463,-4.100264737180235,0.01974132571323366,0.025626453453180577,0.026611015930481964
native_ds_dynamic_quality_gate_02,native_ds,dynamic,1,1786447413.374091,1786447413.4490075,2147932440,True,True,0.029,"2,3,4,5",0.04352629255206303,-1.7010148765223465,-4.11684989462958,0.021801263624873727,0.030180528757741274,0.030698062211117833
native_ds_dynamic_quality_gate_02,native_ds,dynamic,2,1786447414.4482868,1786447414.4874375,2147932464,True,True,0.029,"2,3,4,5",0.0848956998469159,-1.6975962768648756,-4.119386686614333,0.0260412064083901,0.035187390101311194,0.03589019747160494
native_ds_dynamic_quality_gate_02,native_ds,dynamic,3,1786447415.8302686,1786447415.8828108,2147932495,True,True,0.029,"2,3,4,5",0.07610137877605186,-1.6943217206138765,-4.120017468049261,0.023376504920274745,0.03347693775435839,0.03496574661029259
native_ds_dynamic_quality_gate_02,native_ds,dynamic,4,1786447417.6582947,1786447418.090318,2147932536,True,True,0.029,"2,3,4,5",-0.04218569841000471,-1.7040800821632935,-4.101732829028936,0.02478290881748423,0.03773202232448844,0.041100829606744216
native_ds_dynamic_quality_gate_02,native_ds,dynamic,5,1786447420.5765371,1786447420.6650565,2147932601,True,True,0.029,"2,3,4,5",0.089657417817595,-1.6952017667153358,-4.120195183833862,0.020937467092739397,0.026910779846348754,0.027361097191278633
native_ds_dynamic_quality_gate_02,native_ds,dynamic,6,1786447423.8215706,1786447423.862851,2147932674,True,True,0.029,"2,3,4,5",0.24446083063258614,-1.6788025016542494,-4.08865978901116,0.02664899377685435,0.03214463014596578,0.03231702307757718
native_ds_dynamic_quality_gate_02,native_ds,dynamic,7,1786447426.9844284,1786447427.0355098,2147932745,True,True,0.029,"2,3,4,5",0.1431622487348694,-1.6928290756152355,-4.101638602399775,0.018678405423232874,0.02491588977068211,0.025888614685111833
native_ds_dynamic_quality_gate_02,native_ds,dynamic,8,1786447429.2084336,1786447429.292713,2147932795,True,True,0.029,"2,3,4,5",0.14501728932963562,-1.6926624956372764,-4.107162442898796,0.016094394426364046,0.020008918923425073,0.020442505814625183
native_ds_dynamic_quality_gate_02,native_ds,dynamic,9,1786447431.518565,1786447431.7555907,2147932847,True,True,0.029,"2,3,4,5",0.15381912408962342,-1.6919446818404076,-4.104525585720561,0.01602917396094659,0.02155761817184032,0.021567435977836374
native_ds_dynamic_quality_gate_02,native_ds,dynamic,10,1786447434.6018293,1786447434.670925,2147932916,True,True,0.029,"2,3,4,5",0.17772071172145967,-1.6899849831932614,-4.102082255297839,0.01883189453303321,0.026677885518541642,0.027351483809206115
native_ds_dynamic_quality_gate_02,native_ds,dynamic,11,1786447437.1599262,1786447437.3058884,2147932974,True,False,0.029,"2,3,4,5",0.03756118130297861,-1.6957681678440588,-4.100268524149503,0.01969027792003796,0.025714945889502377,0.026176224882596202
native_ds_dynamic_quality_gate_02,native_ds,dynamic,12,1786447440.2337182,1786447440.4843817,2147933041,True,True,0.029,"2,3,4,5",0.08310082985722787,-1.6977837000728193,-4.092363476713035,0.015488512064950003,0.019952905359389008,0.020294647653799885
native_ds_dynamic_quality_gate_02,native_ds,dynamic,13,1786447443.0725942,1786447443.1225684,2147933104,True,True,0.029,"2,3,4,5",0.10837906923935946,-1.6936790993931083,-4.107686537751701,0.018013345883423654,0.023515004174227434,0.023536180621062226
native_ds_dynamic_quality_gate_02,native_ds,dynamic,14,1786447445.7502055,1786447445.801169,2147933164,True,True,0.029,"2,3,4,5",0.02456905518843954,-1.7005953752830179,-4.080602234229417,0.006881414270771503,0.008498806476830682,0.008516761313358453
native_ds_dynamic_quality_gate_02,native_ds,dynamic,15,1786447448.8600152,1786447448.9274735,2147933233,True,True,0.029,"2,3,4,5",-0.01196041196282896,-1.705587972345694,-4.08012604847788,0.01162281858405882,0.016927789000733114,0.017616466576316162
native_ds_dynamic_quality_gate_02,native_ds,dynamic,16,1786447451.4841135,1786447451.5743432,2147933291,True,True,0.029,"2,3,4,5",-0.009873430450273783,-1.7114189045886747,-4.091152319939766,0.01476276061948132,0.021005105253334457,0.021614558788360546
native_ds_dynamic_quality_gate_02,native_ds,dynamic,17,1786447454.6989865,1786447454.7450032,2147933362,True,True,0.029,"2,3,4,5",-0.011848380749939057,-1.7095801389678178,-4.086626687113728,0.018857908210855794,0.027675731079476386,0.029891580863845305
native_ds_dynamic_quality_gate_02,native_ds,dynamic,18,1786447457.3899028,1786447457.4451876,2147933422,True,True,0.029,"2,3,4,5",-0.015251998574074473,-1.702108345655705,-4.082833967630982,0.013232421350759586,0.0196673274918215,0.021348618158357056
native_ds_dynamic_quality_gate_02,native_ds,dynamic,19,1786447459.089982,1786447459.1418138,2147933460,True,True,0.029,"2,3,4,5",-0.004922482024681103,-1.7070111711391363,-4.0772179343492505,0.018090259983830112,0.023420726483693085,0.02434686985146221
native_ds_dynamic_quality_gate_02,native_ds,dynamic,20,1786447461.085763,1786447461.1498053,2147933504,True,True,0.029,"2,3,4,5",0.017294645672403044,-1.7031911886159157,-4.081008246450774,0.0171309793557833,0.0218669546633288,0.022303388791338995
native_ds_dynamic_quality_gate_02,native_ds,dynamic,21,1786447463.5808604,1786447463.6890602,2147933559,True,True,0.029,"2,3,4,5",0.06180099075265428,-1.6955360209395869,-4.089333026087402,0.009984587649922399,0.012793922603552447,0.012904484697791376
native_ds_dynamic_quality_gate_02,native_ds,dynamic,22,1786447466.4524882,1786447466.7079446,2147933623,True,False,0.029,"2,3,4,5",0.1412530986486847,-1.688999758511636,-4.096104198605563,0.015261372489430667,0.01953660845244732,0.019897354748171066
native_ds_dynamic_quality_gate_02,native_ds,dynamic,23,1786447469.3093233,1786447469.3954344,2147933686,True,True,0.029,"2,3,4,5",0.04883375934508242,-1.6906097215521887,-4.078160391240939,0.0030355451064074824,0.0041741390274342,0.004299147983811907
native_ds_dynamic_quality_gate_02,native_ds,dynamic,24,1786447471.8897045,1786447471.9552102,2147933743,True,True,0.029,"2,3,4,5",0.08103632635768235,-1.6879691833413855,-4.081072608062948,0.013179020337693454,0.018862922720043463,0.020197499326403967
native_ds_dynamic_quality_gate_02,native_ds,dynamic,25,1786447475.5641184,1786447475.6554189,2147933825,True,True,0.029,"2,3,4,5",-0.026443457712433862,-1.7027794573157218,-4.090938229134139,0.008235332044853843,0.00974315848927994,0.009847955369886289
native_ds_dynamic_quality_gate_02,native_ds,dynamic,26,1786447478.5602584,1786447478.64035,2147933892,True,True,0.029,"2,3,4,5",0.01614745043576093,-1.7032829986758011,-4.0887432818507685,0.014203737846178035,0.018457744737387677,0.01912280347922499
native_ds_dynamic_quality_gate_02,native_ds,dynamic,27,1786447481.5145667,1786447481.7631764,2147933958,True,True,0.029,"2,3,4,5",0.006115269113503988,-1.7001069326457212,-4.082861912830447,0.01600720589063249,0.018182374095701392,0.018531776762325012
native_ds_dynamic_quality_gate_02,native_ds,dynamic,28,1786447484.4904456,1786447484.537649,2147934024,True,True,0.029,"2,3,4,5",-0.004439810307466429,-1.7009721013713133,-4.082974726972479,0.004744724579777145,0.00618577017717863,0.006436985073343961
native_ds_dynamic_quality_gate_02,native_ds,dynamic,29,1786447485.9188128,1786447485.9907503,2147934056,True,False,0.029,"2,3,4,5",0.014174396840465115,-1.7014469659165088,-4.080467046003704,0.007256663098789826,0.00875377611709037,0.008891401966368406
native_ds_dynamic_quality_gate_02,native_ds,dynamic,30,1786447488.041964,1786447488.096309,2147934104,True,True,0.029,"2,3,4,5",-0.06133903924680142,-1.705650391164105,-4.095982446477236,0.022456436481063897,0.03380832668307198,0.03597612887935462
native_ds_dynamic_quality_gate_02,native_ds,dynamic,31,1786447490.6198587,1786447490.671125,2147934161,True,True,0.029,"2,3,4,5",0.019398111543029593,-1.7030162187679436,-4.088785679235366,0.010651994614359544,0.016037026756359072,0.017000434381747895
native_ds_dynamic_quality_gate_02,native_ds,dynamic,32,1786447493.8077614,1786447493.9005394,2147934231,True,True,0.029,"2,3,4,5",7.343491570544558e-05,-1.700602152132122,-4.0857834057629745,0.009392612505267562,0.012777099845273797,0.013068052804208051
native_ds_dynamic_quality_gate_02,native_ds,dynamic,33,1786447496.9028645,1786447496.994434,2147934300,True,True,0.029,"2,3,4,5",0.05709760021517006,-1.695924810191916,-4.086522291711433,0.01271252247952009,0.015302906872464798,0.015461461112830865
