received_at,slot_id,x_m,y_m,observation_count
1785529372.2119803,6866,1.5078587182820828,1.5397063535594269,11
1785529372.2294962,6867,1.507826604688041,1.541999002880174,11
1785529372.2296314,6868,1.5085300662621652,1.541380766881296,11
1785529372.232626,6873,1.500872756587673,1.5346520254464724,11
1785529372.2798939,6875,1.4993407353755452,1.540129788517692,10
1785529372.2801373,6876,1.499408448973625,1.5339404657288123,10
1785529372.2802212,6878,1.5027245799347744,1.5364326070831111,10
1785529372.2802505,6879,1.502761393971033,1.531222109719172,10
1785529372.280301,6883,1.5063891944062278,1.5285063903995666,10
1785529372.2825568,6888,1.5063700941241898,1.5322109071074903,10
1785529372.2875466,6889,1.5031062876133552,1.5321953010770777,10
1785529372.318261,6891,1.503073050165873,1.536522380592236,10
1785529372.339922,6892,1.5041281741045407,1.535732164582907,10
1785529372.3424764,6900,1.5041124177244376,1.5373211754251686,10
1785529372.342633,6904,1.504230244252121,1.537232806031986,10
1785529372.3426614,6903,1.5042778082658077,1.5311426202719345,10
1785529372.3661427,6906,1.5008706896986463,1.5311208131696725,11
1785529372.4122756,6907,1.4972366934890495,1.527861598748384,9
1785529372.4131186,6912,1.4972290551070013,1.517551120100691,9
1785529372.4132285,6915,1.4972374620613804,1.5200772516127352,9
1785529372.4132948,6916,1.5015759978039782,1.5163793972971409,9
1785529372.4133263,6884,1.5016480501066567,1.5201667324900652,10
1785529372.4163349,6928,1.4996525467632065,1.5216526520131028,10
1785529372.4256134,6927,1.4996520926507373,1.525277212228296,10
1785529372.425704,6929,1.5047057226389586,1.5253215645247524,11
1785529372.4263647,6930,1.5068144418287406,1.5253365328646757,11
1785529372.428021,6931,1.502496716379732,1.5291011647924821,11
1785529372.4373512,6935,1.504015990796067,1.5292992753942187,10
1785529372.4643044,6936,1.5058146929766958,1.5403622946129063,10
1785529372.4912267,6938,1.5166433475084753,1.54578947836215,9
1785529372.491304,6939,1.5157937451654717,1.541242389270126,9
1785529372.491304,6940,1.5151725468883088,1.5416550655805576,9
1785529372.491725,6942,1.5138786606609047,1.5414670608404013,9
1785529372.4918933,6943,1.5181009592437995,1.5386603819722884,9
1785529372.4919217,6944,1.518338884756001,1.5397121581607998,9
1785529372.491971,6948,1.5173005590417705,1.534334349152085,9
1785529372.4920082,6949,1.5087488238714843,1.5330602252271788,10
1785529372.498733,6952,1.5100858110852382,1.5319518805238217,10
1785529372.5129833,6954,1.509003761438268,1.531788409235042,10
1785529372.5178866,6955,1.5004569081698347,1.5388623332657425,10
1785529372.518511,6953,1.5021816359805529,1.5391281381947688,10
1785529372.5279665,6961,1.5061433547753436,1.5397307798046558,10
1785529372.55199,6963,1.507505619612119,1.5482039409701853,10
1785529372.5903482,6965,1.4986125957039764,1.5468747575099056,10
