capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,reflected,scale,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
flextdoa_final_dynamic_20260813,flextdoa,dynamic,10,1786642684.8771813,1786642685.0203474,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,11,1786642685.898592,1786642686.984315,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,12,1786642686.970669,1786642687.8927453,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,13,1786642687.9397416,1786642688.434292,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,14,1786642688.9575994,1786642689.6446087,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,15,1786642690.0408158,1786642690.4292219,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,16,1786642691.0424387,1786642691.1215012,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,17,1786642692.0486817,1786642692.4470506,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,18,1786642693.1007724,1786642693.9674757,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,19,1786642694.0617933,1786642694.684711,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,20,1786642696.102753,1786642696.7272172,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,21,1786642697.1857524,1786642697.7272744,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,22,1786642698.1886353,1786642698.4259155,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,23,1786642699.229749,1786642699.717621,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
