Designator,Mid X ,Mid Y,Layer ,Rotation 
FB1,104.700000,-56.851000,top,180.000000
FB2,90.300000,-72.957500,top,-90.000000
FB3,141.125000,-89.200000,top,0.000000
FB4,92.700000,-107.800000,top,90.000000
FB5,105.500000,-88.450000,top,-90.000000
FL1,139.712000,-92.700000,top,-90.000000
IC1,93.000000,-91.275000,top,90.000000
IC2,132.955000,-105.332786,top,-90.000000
IC3,110.350000,-107.259000,top,-90.000000
IC4,99.525000,-108.388000,top,90.000000
J1,136.525000,-54.275000,top,0.000000
J2,148.075000,-92.700000,top,0.000000
J3,83.700000,-107.100000,top,-90.000000
L1,143.975000,-90.187500,top,-90.000000
L2,93.100000,-85.200000,top,180.000000
L3,143.825000,-105.332786,top,90.000000
Q1,115.375192,-101.517155,top,-90.000000
Q3,92.412500,-78.375000,top,180.000000
Q6,141.960000,-99.782786,top,180.000000
Q7,142.662500,-71.600000,top,0.000000
Q8,135.262500,-71.650000,top,180.000000
R1,112.500000,-77.050000,top,0.000000
R2,112.500000,-78.650000,top,0.000000
R3,130.575000,-54.700000,top,180.000000
R4,130.575000,-56.370000,top,180.000000
R5,109.200000,-74.575000,top,90.000000
R6,105.825000,-58.650000,top,0.000000
R7,105.825000,-60.355556,top,0.000000
R8,105.825000,-62.061111,top,0.000000
R9,105.825000,-63.766667,top,0.000000
R10,105.825000,-70.588889,top,0.000000
R11,112.509091,-74.575000,top,90.000000
R12,114.163636,-74.575000,top,90.000000
R13,115.818182,-74.575000,top,90.000000
R14,117.472727,-74.575000,top,90.000000
R15,119.127273,-74.575000,top,90.000000
R16,120.781818,-74.575000,top,90.000000
R17,105.825000,-65.472222,top,0.000000
R18,130.575000,-58.040000,top,180.000000
R19,130.575000,-59.710000,top,180.000000
R20,105.825000,-67.177778,top,0.000000
R21,105.825000,-68.883333,top,0.000000
R22,105.825000,-72.294444,top,0.000000
R23,105.825000,-74.000000,top,0.000000
R24,122.436364,-74.575000,top,90.000000
R25,130.575000,-64.800000,top,180.000000
R26,127.400000,-74.575000,top,90.000000
R27,110.854545,-74.575000,top,90.000000
R28,124.090909,-74.575000,top,90.000000
R29,125.745455,-74.575000,top,90.000000
R30,138.975000,-70.700000,top,0.000000
R31,138.975000,-72.600000,top,180.000000
R32,101.350000,-60.525000,top,0.000000
R33,130.575000,-61.380000,top,0.000000
R34,146.700000,-57.109522,top,180.000000
R35,142.075000,-63.759522,top,0.000000
R36,143.725000,-63.759522,top,0.000000
R37,142.075000,-62.126189,top,0.000000
R38,143.725000,-62.126189,top,0.000000
R39,142.075000,-65.392856,top,0.000000
R40,143.725000,-65.392856,top,0.000000
R41,142.075000,-67.026189,top,0.000000
R42,143.725000,-67.026189,top,0.000000
R43,96.862500,-62.387500,top,0.000000
R44,96.862500,-65.987500,top,0.000000
R45,96.862500,-57.175000,top,0.000000
R46,96.862500,-60.802500,top,0.000000
R47,96.137500,-77.712500,top,180.000000
R48,96.162500,-79.312500,top,0.000000
R49,85.100000,-72.687500,top,90.000000
R50,83.525000,-53.800000,top,180.000000
R51,81.650000,-72.687500,top,-90.000000
R52,97.887500,-72.137500,top,90.000000
R53,97.887500,-70.487500,top,90.000000
R54,96.082500,-72.137500,top,90.000000
R55,96.082500,-70.487500,top,90.000000
R56,119.850000,-84.400000,top,180.000000
R57,124.170000,-85.305000,top,-90.000000
R58,122.470000,-85.305000,top,-90.000000
R59,118.325000,-81.400000,top,90.000000
R60,132.625000,-81.600000,top,90.000000
R61,130.925000,-81.600000,top,90.000000
R62,141.025000,-80.800000,top,0.000000
R63,86.800000,-86.375000,top,0.000000
R64,142.075000,-68.675000,top,180.000000
R65,139.950000,-53.205000,top,180.000000
R66,111.192000,-103.734000,top,0.000000
R67,101.582250,-98.612500,top,-90.000000
R68,107.100000,-92.375000,top,90.000000
R69,99.825000,-98.600000,top,-90.000000
R70,87.300000,-113.700000,top,0.000000
R71,86.600000,-95.200000,top,180.000000
R72,83.200000,-113.700000,top,180.000000
R73,89.800000,-95.200000,top,0.000000
R74,98.100000,-112.615000,top,-90.000000
R75,107.092500,-108.326000,top,-90.000000
R76,101.320000,-104.175000,top,-90.000000
R77,94.550000,-105.600000,top,90.000000
R78,141.500000,-110.182786,top,0.000000
R79,99.650000,-104.175000,top,90.000000
R80,98.200000,-92.400000,top,-90.000000
R81,107.076500,-111.558000,top,90.000000
R82,105.400000,-92.380000,top,-90.000000
R83,96.400000,-95.200000,top,180.000000
R84,145.550000,-98.787786,top,180.000000
R85,145.525000,-100.787786,top,0.000000
R86,126.725000,-107.500000,top,0.000000
R87,126.720000,-99.025286,top,180.000000
R88,126.720000,-102.254036,top,180.000000
R89,104.125000,-99.225000,top,-90.000000
R90,126.720000,-109.300000,top,180.000000
R91,126.720000,-111.075000,top,0.000000
R92,126.720000,-103.868411,top,180.000000
R93,115.375192,-98.679655,top,0.000000
R94,141.500000,-111.832786,top,180.000000
R95,101.582250,-100.262500,top,90.000000
R96,141.500000,-113.482786,top,180.000000
R97,99.825000,-100.250000,top,90.000000
SW1,130.575000,-70.600000,top,-90.000000
SW2,101.425000,-64.400000,top,90.000000
SW3,123.921260,-81.126000,top,180.000000
SW4,81.720000,-85.900000,top,-90.000000
SW5,87.300000,-78.425000,top,0.000000
TH1,147.900000,-113.200000,top,180.000000
U1,118.300000,-58.690000,top,0.000000
U2,142.700000,-57.731189,top,90.000000
U3,119.850000,-91.162500,top,-90.000000
U4,136.475000,-94.450000,top,180.000000
U6,93.462500,-101.200000,top,-90.000000
Y1,139.197404,-58.794122,top,-90.000000
