block,slot_id,initiator_id,received_at,x_m,y_m,truth_x_m,truth_y_m,error_m
flex_3,38915,5,1785086158.369546,1.620590281800466,1.5435703808085364,1.5,1.5,0.1282201004075285
flex_3,38916,2,1785086158.3696084,1.5800469456626345,1.4364153751237019,1.5,1.5,0.10222777524027561
flex_3,38918,4,1785086158.3697078,1.5336101006809897,1.60734796063613,1.5,1.5,0.11248654817587031
flex_3,38919,5,1785086158.3697402,1.5973285015678766,1.5485293470307702,1.5,1.5,0.10875630896955397
flex_3,38920,2,1785086158.369777,1.5262253054243407,1.5773527309831517,1.5,1.5,0.0816774854849963
flex_3,38922,4,1785086158.3734124,1.5605086614959396,1.6167110385778185,1.5,1.5,0.13146392905258553
flex_3,38923,5,1785086158.373694,1.564888158985826,1.511800313608539,1.5,1.5,0.0659524114633399
flex_3,38928,2,1785086158.404057,1.6208510053554026,1.5654648736663388,1.5,1.5,0.13744313434857794
flex_3,38929,3,1785086158.4065676,1.5136722384286991,1.5352838650440732,1.5,1.5,0.03784020660751695
flex_3,38932,2,1785086158.4067655,1.4592345731274552,1.2588722469419231,1.5,1.5,0.24454940875605832
flex_3,38935,5,1785086158.416341,1.623766302046861,1.5168692643940367,1.5,1.5,0.1249106464779953
flex_3,38937,3,1785086158.416478,1.5512889301887305,1.447997304458209,1.5,1.5,0.07303995278966623
flex_3,38956,2,1785086158.5061183,1.5225857470543636,1.4892116231240153,1.5,1.5,0.025030082812926784
flex_3,38957,3,1785086158.5061598,1.5486921077595526,1.4834009548735914,1.5,1.5,0.051443655169286236
flex_3,38959,5,1785086158.5062544,1.601313080689355,1.4984274302643104,1.5,1.5,0.10132528457567418
flex_3,38962,4,1785086158.5063553,1.4829317590509967,1.481229404010581,1.5,1.5,0.025370457679971578
flex_3,38963,5,1785086158.5063903,1.497979904690869,1.5094439577740344,1.5,1.5,0.009657594084228097
flex_3,38964,2,1785086158.5064247,1.5891419392900266,1.5077641588669743,1.5,1.5,0.0894794250277593
flex_3,38971,5,1785086158.525302,1.5591619243543406,1.5025624906076154,1.5,1.5,0.05921739314950331
flex_3,38972,2,1785086158.5254004,1.488629565523657,1.5599680634101856,1.5,1.5,0.06103650882339886
flex_3,38975,5,1785086158.5621014,1.5408088922521261,1.4872709522666958,1.5,1.5,0.042748033206714636
flex_3,38978,4,1785086158.5623155,1.5837665076849246,1.4914497984514008,1.5,1.5,0.08420174437771578
flex_3,38979,5,1785086158.5626206,1.58324104331313,1.5784770852309478,1.5,1.5,0.11440159176429252
flex_3,38982,4,1785086158.5627666,1.4857823857877044,1.4741294544674823,1.5,1.5,0.02951992005476539
flex_3,38983,5,1785086158.5628016,1.5791550919860542,1.5940889712249262,1.5,1.5,0.12295634629203038
flex_3,38984,2,1785086158.5628393,1.4643088154864143,1.4885980008288604,1.5,1.5,0.03746820301377536
flex_3,38985,3,1785086158.562893,1.5181610767493299,1.5084343605920911,1.5,1.5,0.020024064205162496
flex_3,38986,4,1785086158.562929,1.4371646878339617,1.5101325942432353,1.5,1.5,0.06364704173095187
flex_3,38987,5,1785086158.5831995,1.5099272188382256,1.5427583052317386,1.5,1.5,0.04389558451772282
flex_3,38990,4,1785086158.598596,1.4868197227458326,1.4205267864262172,1.5,1.5,0.08055874492716986
flex_3,38991,5,1785086158.598641,1.6619115091104664,1.5032868783080022,1.5,1.5,0.16194486824669763
flex_3,38992,2,1785086158.59868,1.5075388436786015,1.4828984817884183,1.5,1.5,0.01868946465663073
flex_3,38996,2,1785086158.6001842,1.5471594810755176,1.5609528216863444,1.5,1.5,0.07706661486557848
flex_3,39000,2,1785086158.6018245,1.6050178784877838,1.5862039661876697,1.5,1.5,0.13586713579287601
flex_3,39002,4,1785086158.6081924,1.567979420646935,1.5125136045983882,1.5,1.5,0.06912157356092051
flex_3,39006,4,1785086158.6467435,1.5795545550564851,1.483487074913355,1.5,1.5,0.08125025492361529
flex_3,39007,5,1785086158.6467905,1.539166420793011,1.49585610867983,1.5,1.5,0.0393850270154608
flex_3,39008,2,1785086158.6468332,1.4041704018325392,1.539051596797453,1.5,1.5,0.1034811050258348
flex_3,39009,3,1785086158.646873,1.5605276997553035,1.5071982568950886,1.5,1.5,0.060954223315500086
flex_3,39010,4,1785086158.6469197,1.5232940651333742,1.491423923386551,1.5,1.5,0.024822621950906523
flex_3,39015,5,1785086158.6471508,1.5917679077480469,1.5633268018290392,1.5,1.5,0.11149723190442191
flex_3,39017,3,1785086158.669794,1.6271313783030443,1.4599775839808888,1.5,1.5,0.13328233616364388
