role,capture_id,protocol,kind,first_id,second_id,link,time,measured_m,rtk_horizontal_m,rtk_vertical_m,rtk_slant_m,height_correction_m,error_m,first_rtk_age_ms,second_rtk_age_ms
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379451.635968,5.186,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.025549602862612097,672.874927520752,28.94759178161621
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379451.6362243,4.752,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.09559879411165273,672.6186275482178,214.7960662841797
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379451.7942517,4.737,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.07735373400855305,514.5912170410156,525.7885456085205
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379451.7947023,4.752,4.899569330389852,-0.05999794733898761,4.899936670711343,0.0003673403214907722,-0.14793667071134298,514.1406059265137,431.3690662384033
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379451.761822,5.219,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.05854960286261246,547.0209121704102,96.90642356872559
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379451.7937481,4.737,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.08059879411165305,515.0947570800781,57.27219581604004
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379451.9067395,4.741,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.08135373400855261,402.1034240722656,413.3007526397705
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379451.906989,4.755,4.899569330389852,-0.05999794733898761,4.899936670711343,0.0003673403214907722,-0.14493667071134286,401.8537998199463,543.6558723449707
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379451.8789191,5.221,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.06054960286261224,429.92377281188965,214.0035629272461
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379451.8791573,4.743,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.08659879411165328,429.6855926513672,28.1369686126709
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.0011957,4.782,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.12235373400855298,307.6472282409668,318.8445568084717
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.0293381,4.775,4.899569330389852,-0.05999794733898761,4.899936670711343,0.0003673403214907722,-0.1249366707113424,279.50477600097656,666.0048961639404
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.0295918,5.213,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.05254960286261223,279.2510986328125,364.67623710632324
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379451.9993064,4.746,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.08959879411165339,309.5364570617676,148.2861042022705
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.0893755,4.805,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.14535373400855267,219.4674015045166,230.66473007202148
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.120006,5.21,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.04954960286261212,188.83681297302246,455.0905227661133
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379452.120428,4.735,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.07859879411165327,188.4148120880127,269.4077491760254
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.24793,4.721,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.06135373400855304,60.9128475189209,72.11017608642578
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.2482,4.768,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.12497532915377274,60.64295768737793,638.3311748504639
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.2484305,5.167,5.160208173537176,-0.04999907074687604,5.160450397137388,0.00024222360021219913,0.0065496028626119696,60.41240692138672,583.514928817749
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379452.2068052,4.753,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.09659879411165306,102.03766822814941,355.7848930358887
