role,capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.3575974,1786447852.3727007,15.103340148925781,0.344042071145541,0.17313454165316244,0.24787198732925597,0.004333689533743426,0.096170083816285,0.16880085211941903,0.1942740659415797,nan,0.0,0.421,0.421,2147504423,2147504591,False,1.3286652565002441,0.14506426198417813
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.4811792,1786447852.542599,61.41972541809082,0.12106390996048155,0.1587909146875095,0.24898852800884175,0.004444809635279268,-0.1279246180483602,0.15434610505223023,0.20046802250636617,nan,0.0,0.129,0.129,2147504440,2147504591,False,1.1587669849395752,0.1400631623949965
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.6425228,1786447852.6082118,-34.31105613708496,0.21316088389097065,0.09593276173304499,0.24803149342489508,0.006111612141922004,-0.03487060953392443,0.08982114959112299,0.0963524692114235,nan,0.0,0.232,0.232,2147504455,2147504591,False,1.0931541919708252,0.026841360211819692
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.7216487,1786447852.7212145,-0.4341602325439453,0.1500453834958011,0.17083558951589595,0.2489885280585399,0.00722281345349092,-0.09894314456273881,0.16361277606240504,0.1912037822502728,nan,0.0,0.141,0.141,2147504468,2147504591,False,0.9801514148712158,0.12409296045499557
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.8538039,1786447852.8820055,28.201580047607422,0.10804543336430239,0.17077086740505987,0.24986580951016446,0.006000492096766799,-0.14182037614586207,0.16477037530829308,0.21739893207968977,nan,0.0,0.199,0.199,2147504488,2147504591,False,0.8193604946136475,0.15742725812628625
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447852.9813337,1786447852.9682083,-13.125419616699219,0.07809786307438515,0.13672467769563035,0.24898852794106832,0.0060004921254720595,-0.17089066486668317,0.1307241855701583,0.2151567615287937,nan,0.0,0.178,0.178,2147504496,2147504591,False,0.7331576347351074,0.1674957972294683
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.1019497,1786447853.1409657,39.016008377075195,0.12708547687335536,0.14480017732617778,0.25106210308777344,0.007222814696760296,-0.12397662621441807,0.1375773626294175,0.18519647554847196,nan,0.0,0.177,0.177,2147504520,2147504591,False,0.5604002475738525,0.12769587569125276
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.247091,1786447853.260539,13.447999954223633,0.17508696088342113,0.14387414664019182,0.2516203730180978,0.007445053951998529,-0.07653341213467668,0.1364290926881933,0.156429730245564,nan,0.0,0.306,0.306,2147504535,2147504591,False,0.4408268928527832,0.08898772545068187
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.3712678,1786447853.3599598,-11.307954788208008,0.08212559637250516,0.11873086307840097,0.2514608673761052,0.008222894908443454,-0.16933527100360002,0.11050796816995752,0.20220396889011602,nan,0.0,0.199,0.199,2147504540,2147504591,False,0.34140610694885254,0.16022275110128895
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447853.4822867,1786447853.4824088,0.1220703125,0.2060853830730789,0.14492191653465447,0.2514608671631211,0.007778414571958894,-0.04537548409004222,0.1371435019626956,0.14445509574603993,nan,0.0,0.267,0.267,2147504563,2147504591,False,0.21895718574523926,0.07102846295768368
