received_at,slot_id,x_m,y_m,observation_count
1785530446.3300772,7790,1.5018328449109026,1.5082149031718555,12
1785530446.3305304,7796,1.5018394940170618,1.5128140277057107,12
1785530446.3319764,7797,1.507488663246157,1.518463624340917,12
1785530446.332143,7799,1.5074929866172548,1.5031346738512343,12
1785530446.3466408,7802,1.5004671109592975,1.496108212214058,12
1785530446.3535345,7806,1.4957761682312853,1.4961313299997352,12
1785530446.392413,7809,1.4977991620906255,1.4981544325884457,12
1785530446.3925822,7811,1.4977989917272194,1.4985077739639356,12
1785530446.3926115,7813,1.4981510553311208,1.4985080338885788,12
1785530446.3926659,7814,1.5032528101677143,1.5036080816055644,12
1785530446.401158,7818,1.5069715076622165,1.5060200473034386,11
1785530446.4236743,7820,1.5087324597405753,1.4972725662521849,9
1785530446.4483361,7824,1.5100314291424772,1.489768216671025,9
1785530446.4496481,7825,1.4991968645708973,1.491652299166521,9
1785530446.4496858,7828,1.5038891626946134,1.4869555753244577,10
1785530446.449713,7827,1.50388455706023,1.4846094651962622,11
1785530446.4497378,7829,1.5043712166755308,1.484610084421084,12
1785530446.4497998,7831,1.5009151806111871,1.4880650567875227,12
1785530446.449851,7833,1.4965075023661933,1.4836571347770222,12
1785530446.4498944,7834,1.4988808589381508,1.4836499605477125,12
1785530446.4499154,7835,1.4988415829612949,1.4933692015514966,12
1785530446.4611833,7838,1.4979564594945733,1.4924840838728313,12
1785530446.4647691,7840,1.4942493817076377,1.4961911790530513,12
1785530446.471973,7841,1.4888644730889133,1.4962036414725681,12
1785530446.4721184,7842,1.4838197908996824,1.4961784900157151,12
1785530446.5145583,7843,1.489293038212698,1.4907054858318165,12
1785530446.5160315,7847,1.4892947216982162,1.4899128258453334,12
1785530446.516067,7848,1.4892844811065447,1.4878726246220504,12
1785530446.5161734,7852,1.486901961938433,1.4902551203507834,12
1785530446.5162327,7851,1.4869016704605527,1.490166354072516,12
1785530446.5162566,7853,1.4920111743592348,1.4901614074390723,12
1785530446.52109,7855,1.4898971695693535,1.4922754692156328,12
1785530446.5217845,7857,1.4904292932587084,1.4928076356016784,12
1785530446.5255175,7859,1.4904315796137897,1.4943054233793915,12
1785530446.551285,7861,1.4973390034053307,1.4943387519845543,12
1785530446.5797286,7862,1.498312890913705,1.4953126278508337,12
1785530446.5836046,7869,1.5009689124498464,1.4979686592486139,12
1785530446.5836616,7870,1.503177134086523,1.4979746531138811,12
1785530446.583688,7871,1.5031804774011468,1.4994788413936964,12
1785530446.5837278,7872,1.5031839462920187,1.5008032719307254,12
1785530446.5837705,7874,1.4997283699597872,1.4973477049286013,12
1785530446.583876,7876,1.5021089900487712,1.4949670324554332,12
1785530446.5839016,7875,1.5021171704637477,1.497440163172053,12
